date_registered,user_count
6/29/2018,81
6/30/2018,115
7/1/2018,6
7/2/2018,42
7/3/2018,65
7/4/2018,144
7/5/2018,92
7/6/2018,103
7/7/2018,127
7/8/2018,99
7/9/2018,116
7/10/2018,262
7/11/2018,215
7/12/2018,279
7/13/2018,200
7/14/2018,49
7/15/2018,92
7/16/2018,591
7/17/2018,912
7/18/2018,978
7/19/2018,235
7/20/2018,586
7/21/2018,188
7/22/2018,199
7/23/2018,582
7/24/2018,796
7/25/2018,792
7/26/2018,631
7/27/2018,453
7/28/2018,440
7/29/2018,588
7/30/2018,476
7/31/2018,685
8/1/2018,446
8/2/2018,614
8/3/2018,400
8/4/2018,472
8/5/2018,722
8/6/2018,735
8/7/2018,1220
8/8/2018,1842
8/9/2018,2340
8/10/2018,1653
8/11/2018,2012
8/12/2018,2198
8/13/2018,1492
8/14/2018,2396
8/15/2018,2702
8/16/2018,3724
8/17/2018,3454
8/18/2018,4126
8/19/2018,2757
8/20/2018,2559
8/21/2018,2339
8/22/2018,3962
8/23/2018,4432
8/24/2018,3545
8/25/2018,6194
8/26/2018,5734
8/27/2018,4770
8/28/2018,4910
8/29/2018,7563
8/30/2018,8077
8/31/2018,4837
9/1/2018,4862
9/2/2018,5486
9/3/2018,2203
9/4/2018,2883
9/5/2018,4296
9/6/2018,4759
9/7/2018,4268
9/8/2018,5356
9/9/2018,4311
9/10/2018,3965
9/11/2018,3949
9/12/2018,1795
9/13/2018,3257
9/14/2018,4726
9/15/2018,4255
9/16/2018,4212
9/17/2018,4664
9/18/2018,6518
9/19/2018,7791
9/20/2018,9409
9/21/2018,8535
9/22/2018,8175
9/23/2018,8457
9/24/2018,11031
9/25/2018,14705
9/26/2018,16081
9/27/2018,13325
9/28/2018,10979
9/29/2018,5081
9/30/2018,4645
10/1/2018,2863
10/2/2018,3579
10/3/2018,4397
10/4/2018,4239
10/5/2018,4195
10/6/2018,2126
10/7/2018,1437
10/8/2018,1871
10/9/2018,2422
10/10/2018,2434
10/11/2018,2443
10/12/2018,2587
10/13/2018,1940
10/14/2018,2451
10/15/2018,2473
10/16/2018,2994
10/17/2018,3186
10/18/2018,4242
10/19/2018,4717
10/20/2018,5093
10/21/2018,4529
10/22/2018,3687
10/23/2018,1905
10/24/2018,1902
10/25/2018,1614
10/26/2018,3161
10/27/2018,3768
10/28/2018,2745
10/29/2018,4516
10/30/2018,6821
10/31/2018,5508
11/1/2018,4253
11/2/2018,5009
11/3/2018,4461
11/4/2018,1798
11/5/2018,3953
11/6/2018,6674
11/7/2018,4580
11/8/2018,5823
11/9/2018,6347
11/10/2018,4526
11/11/2018,1312
11/12/2018,2472
11/13/2018,2731
11/14/2018,2756
11/15/2018,2576
11/16/2018,2645
11/17/2018,1880
11/18/2018,921
11/19/2018,2366
11/20/2018,2729
11/21/2018,3939
11/22/2018,1732
11/23/2018,2251
11/24/2018,2789
11/25/2018,2492
11/26/2018,2416
11/27/2018,4176
11/28/2018,4855
11/29/2018,4207
11/30/2018,4756
12/1/2018,4010
12/2/2018,1933
12/3/2018,3299
